id,first_name,last_name,full_name,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
415,Joel,Morris,Joel Morris,44,76,56,71,66,54,91
416,Rhonda,Bradley,Rhonda Bradley,78,89,68,63,81,92,97
417,Melissa,Brown,Melissa Brown,95,78,93,85,48,68,75
418,Matthew,Kramer,Matthew Kramer,57,56,53,75,98,92,73
419,Austin,Bass,Austin Bass,86,99,95,94,92,90,77
420,Jennifer,West,Jennifer West,92,97,100,91,95,90,95
421,Patricia,Mccormick,Patricia Mccormick,69,69,84,100,69,77,87
422,Sandra,Jacobs,Sandra Jacobs,91,62,75,60,82,91,96
423,Jasmine,Clark,Jasmine Clark,79,79,97,78,31,99,84
424,Jeffrey,Young,Jeffrey Young,93,96,80,64,91,68,71
425,Jason,Hernandez,Jason Hernandez,90,79,90,73,76,68,95
426,Christopher,Hamilton,Christopher Hamilton,99,68,100,95,95,88,83
427,Monique,Peterson,Monique Peterson,90,69,81,92,65,89,69
428,Jill,Sexton,Jill Sexton,71,84,66,75,93,84,69
429,Jennifer,Kemp,Jennifer Kemp,98,93,67,74,81,87,76
430,David,Harris,David Harris,94,99,83,94,93,95,93
431,Cheryl,Snyder,Cheryl Snyder,92,89,79,76,86,61,81
432,Nathan,Armstrong,Nathan Armstrong,100,96,74,61,87,94,60
433,Patrick,Ryan,Patrick Ryan,48,55,86,51,54,94,61
434,Christian,Wilkins,Christian Wilkins,63,87,71,68,66,67,99
435,Clinton,Martin,Clinton Martin,89,83,89,91,94,93,69
436,Adriana,Sandoval,Adriana Sandoval,88,90,93,81,88,90,74
437,Jeremy,Harvey,Jeremy Harvey,98,87,67,97,62,60,79
438,Caitlin,Murillo,Caitlin Murillo,92,86,88,75,60,50,79
439,Andrew,Green,Andrew Green,80,60,100,99,98,75,94
440,Rodney,Bennett,Rodney Bennett,92,63,91,65,69,94,98
441,Megan,Moyer,Megan Moyer,82,95,68,64,97,99,60
442,Mathew,Burns,Mathew Burns,84,74,74,75,99,99,85
443,Tammie,Stanley,Tammie Stanley,61,70,65,67,93,81,63
444,James,Glover,James Glover,99,87,98,76,65,94,67
445,Michelle,Reeves,Michelle Reeves,83,69,90,78,39,95,82
446,Rhonda,Hall,Rhonda Hall,56,90,95,59,91,77,99
447,Matthew,Kidd,Matthew Kidd,65,64,52,56,63,82,83
448,Joseph,Stone,Joseph Stone,94,61,77,73,79,65,89
449,Jessica,Mendoza,Jessica Mendoza,90,96,73,89,93,87,96
450,Susan,Brown,Susan Brown,94,82,81,90,76,97,86
451,Lori,Ryan,Lori Ryan,89,87,63,83,64,85,72
452,Ryan,Cruz,Ryan Cruz,89,67,68,93,98,75,88
453,Nicholas,Johnson,Nicholas Johnson,88,98,87,85,96,77,96
454,Joseph,Schmidt,Joseph Schmidt,76,94,90,75,92,86,87
455,Daniel,Brown,Daniel Brown,88,78,84,96,92,99,97
456,Harold,Vazquez,Harold Vazquez,88,76,80,72,100,69,71
457,Lance,Parsons,Lance Parsons,54,88,82,89,72,60,69
458,Jill,Mathews,Jill Mathews,87,87,76,67,68,89,77
459,Crystal,Nguyen,Crystal Nguyen,95,73,79,81,82,69,100
460,Susan,Perez,Susan Perez,72,72,68,81,95,90,99
461,Brenda,Powers,Brenda Powers,95,76,70,89,88,87,62
462,Samuel,Thompson,Samuel Thompson,91,97,86,77,83,79,62
463,Taylor,Nelson,Taylor Nelson,79,81,63,79,96,96,89
464,Kimberly,West,Kimberly West,80,71,94,92,92,60,78
465,Brad,Lee,Brad Lee,86,90,88,73,50,93,71
466,Clayton,Green,Clayton Green,88,88,90,67,77,83,64
467,Richard,Anderson,Richard Anderson,83,95,86,80,64,66,97
468,Antonio,Flores,Antonio Flores,84,84,80,97,87,97,91
469,Margaret,Mullins,Margaret Mullins,85,82,81,85,72,90,71
470,Michael,Ball,Michael Ball,91,85,96,83,74,87,74
471,Allen,Booth,Allen Booth,83,71,94,60,63,93,67
472,Stephanie,Clark,Stephanie Clark,97,93,99,98,96,79,88
473,Sharon,Nelson,Sharon Nelson,63,68,92,73,66,69,87
474,Marco,Clark,Marco Clark,92,98,90,82,86,86,89
475,Victor,Smith,Victor Smith,78,78,64,94,79,92,63
476,Christina,Patterson,Christina Patterson,78,90,69,100,90,91,90
477,Jerry,Knight,Jerry Knight,89,60,93,79,72,76,85
478,Madison,Jacobs,Madison Jacobs,53,87,100,84,63,62,95
479,Douglas,Watson,Douglas Watson,63,84,60,85,91,83,84
480,Manuel,Barrett,Manuel Barrett,100,98,71,100,71,92,63
481,Janet,Martin,Janet Martin,79,54,81,87,67,74,85
482,Teresa,Flores,Teresa Flores,93,77,71,62,94,69,72
483,Anthony,Mullins,Anthony Mullins,97,88,67,72,83,87,62
484,Julie,Zamora,Julie Zamora,76,82,93,98,98,60,65
485,Maria,Nguyen,Maria Nguyen,84,83,80,91,88,61,61
486,Selena,Castro,Selena Castro,56,96,65,61,78,77,95
487,Whitney,Miller,Whitney Miller,97,89,94,91,95,70,75
488,Brenda,Mooney,Brenda Mooney,67,60,97,53,93,78,81
489,Angela,Allen,Angela Allen,97,93,64,74,94,74,76
490,Erica,Cohen,Erica Cohen,100,67,50,78,73,90,91
491,Kelly,Sanders,Kelly Sanders,83,61,76,75,62,79,94
492,Michael,Clark,Michael Clark,85,63,83,83,69,94,80
493,Tammy,Fields,Tammy Fields,100,96,97,64,76,77,61
494,Steven,Pennington,Steven Pennington,92,98,99,86,100,86,87
495,Matthew,Chavez,Matthew Chavez,88,98,65,68,99,94,79
496,Stephen,Gallagher,Stephen Gallagher,95,82,62,76,64,91,79
497,Victoria,Anderson,Victoria Anderson,76,81,84,80,80,84,70
498,Thomas,Schroeder,Thomas Schroeder,79,93,72,97,69,78,87
499,Mark,Sanchez,Mark Sanchez,93,70,84,68,71,85,70
500,Katelyn,Moses,Katelyn Moses,79,96,78,90,94,76,88
501,Corey,Davis,Corey Davis,98,99,72,100,94,77,84
502,Susan,Klein,Susan Klein,93,99,81,67,87,76,60
503,John,Martinez,John Martinez,91,79,78,95,86,89,100
504,Kendra,Robertson,Kendra Robertson,86,99,77,61,72,92,70
505,Tamara,Olson,Tamara Olson,81,80,85,93,68,75,90
506,Sara,Frazier,Sara Frazier,97,94,94,83,91,65,96
507,Morgan,Moore,Morgan Moore,90,95,89,93,92,99,88
508,Eric,Snyder,Eric Snyder,90,91,62,82,76,70,64
509,Paul,Hale,Paul Hale,82,92,95,61,84,81,82
510,Dale,Martinez,Dale Martinez,91,94,89,74,60,77,77
511,Sandra,Prince,Sandra Prince,70,94,67,74,84,95,65
512,Dawn,Poole,Dawn Poole,60,75,70,96,63,82,80
513,Emily,Jordan,Emily Jordan,85,96,99,94,95,92,95
514,John,Owen,John Owen,82,85,72,69,63,99,68
515,Andrew,Best,Andrew Best,83,79,92,69,85,71,95
516,Holly,Burns,Holly Burns,96,88,100,95,85,94,93
517,Alicia,Rodriguez,Alicia Rodriguez,85,87,78,72,91,88,93
518,Erin,Ray,Erin Ray,95,61,84,98,63,66,80
519,Todd,Griffith,Todd Griffith,97,92,87,61,75,62,94
520,Melinda,Payne,Melinda Payne,95,69,91,97,89,84,66
521,Cynthia,Williams,Cynthia Williams,69,98,77,63,88,64,60
522,Jenny,Washington,Jenny Washington,84,55,65,62,56,91,81
523,Angela,Joyce,Angela Joyce,92,100,100,98,83,75,72
524,William,Alvarado,William Alvarado,87,95,78,82,53,59,66
525,Michael,Mercer,Michael Mercer,97,87,90,70,96,75,93
526,Erin,Miller,Erin Miller,92,96,77,95,63,57,90
527,Robert,Heath,Robert Heath,72,91,68,79,98,71,89
528,Deborah,Rojas,Deborah Rojas,50,55,96,72,55,50,64
529,Diana,Jones,Diana Jones,97,96,93,94,91,96,87
530,Meredith,Clark,Meredith Clark,89,77,69,72,63,84,99
531,Christina,Garrett,Christina Garrett,77,76,90,95,94,99,94
532,Daniel,Jackson,Daniel Jackson,91,89,66,69,100,88,79
533,Bradley,Robinson,Bradley Robinson,64,92,70,81,85,55,76
534,Phyllis,Schneider,Phyllis Schneider,71,87,63,73,89,77,66
535,Thomas,Clark,Thomas Clark,56,79,74,66,92,57,61
536,Gregory,Gonzalez,Gregory Gonzalez,87,70,98,64,65,78,83
537,Michelle,Roth,Michelle Roth,99,69,85,91,77,88,75
538,Christopher,Murphy,Christopher Murphy,98,88,76,72,92,81,89
539,Mark,Davis,Mark Davis,87,83,74,61,81,72,98
540,Lauren,Harrington,Lauren Harrington,88,96,90,92,68,97,73
541,Michelle,Owens,Michelle Owens,71,52,53,64,89,76,70
542,Scott,Weaver,Scott Weaver,96,90,91,95,99,95,99
543,Monica,Williams,Monica Williams,81,95,99,65,56,79,98
544,Kathryn,Hampton,Kathryn Hampton,94,92,63,84,79,66,96
545,Christina,Shields,Christina Shields,94,87,98,90,92,88,100
546,Andrew,Thomas,Andrew Thomas,98,87,75,63,85,88,75
547,Holly,Sexton,Holly Sexton,100,58,54,97,58,51,80
548,Christopher,Peterson,Christopher Peterson,66,89,65,99,84,84,86
549,Eric,Murray,Eric Murray,94,99,97,94,85,97,97
550,Kristina,Watson,Kristina Watson,83,90,93,89,64,63,82
551,Greg,Martin,Greg Martin,92,54,50,88,90,91,95
552,Paul,Shaffer,Paul Shaffer,93,100,90,94,97,98,98
553,Alexander,Daniel,Alexander Daniel,69,92,84,98,98,83,87
554,Carla,Davis,Carla Davis,94,71,63,73,66,90,91
555,Chelsea,Clark,Chelsea Clark,100,92,95,90,67,81,66
556,Justin,Douglas,Justin Douglas,96,92,98,100,94,93,86
557,Charles,Reid,Charles Reid,76,87,99,69,89,93,85
558,Courtney,Moreno,Courtney Moreno,77,62,94,65,77,77,95
559,Justin,Mitchell,Justin Mitchell,84,67,79,60,69,80,98
560,Bruce,Woods,Bruce Woods,95,61,68,75,64,76,66
561,Christopher,Hines,Christopher Hines,90,64,94,84,66,61,72
562,Theodore,Williams,Theodore Williams,96,89,73,75,99,89,71
563,Jennifer,Valdez,Jennifer Valdez,80,81,92,73,71,71,84
564,Alexandra,Day,Alexandra Day,87,83,75,73,92,91,71
565,John,Pacheco,John Pacheco,94,75,91,64,67,93,65
566,Sherry,Brown,Sherry Brown,87,82,88,100,73,96,75
567,Douglas,Clark,Douglas Clark,95,97,88,77,96,96,74
568,Alex,Farmer,Alex Farmer,85,96,82,64,82,94,81
569,Brandon,Gonzales,Brandon Gonzales,67,65,77,72,94,88,77
570,Wayne,Trevino,Wayne Trevino,84,100,92,82,85,70,69
571,Pamela,Horne,Pamela Horne,83,88,90,100,71,98,96
572,Michael,Schaefer,Michael Schaefer,67,78,68,51,77,72,78
573,Carlos,Ramirez,Carlos Ramirez,75,92,72,88,92,77,84
574,Antonio,Lucero,Antonio Lucero,67,76,70,73,81,85,80
575,Terry,Ashley,Terry Ashley,67,54,51,72,75,60,88
576,Rita,Cochran,Rita Cochran,72,91,78,97,86,93,77
577,Joseph,Gregory,Joseph Gregory,78,98,76,68,86,91,82
578,Alexandra,Robinson,Alexandra Robinson,85,87,92,96,92,90,88
579,Tina,Sparks,Tina Sparks,100,70,69,61,100,65,81
580,Christopher,Buchanan,Christopher Buchanan,56,59,89,68,79,83,68
581,Christina,Guerrero,Christina Guerrero,93,75,83,99,100,91,74
582,Jessica,Hutchinson,Jessica Hutchinson,89,91,85,69,76,92,94
583,Tyler,Carrillo,Tyler Carrillo,59,88,74,92,72,97,64
584,Lindsay,Brady,Lindsay Brady,99,70,74,65,99,74,62
585,Gary,Rivera,Gary Rivera,89,89,85,74,78,87,82
586,Luke,Moore,Luke Moore,86,63,78,78,80,67,97
587,Tanya,Green,Tanya Green,79,65,91,65,61,88,95
588,Bryan,Lee,Bryan Lee,96,89,91,90,90,91,99
589,Melanie,Bridges,Melanie Bridges,95,90,85,90,96,89,96
590,Eric,Bowers,Eric Bowers,96,85,90,95,100,96,88
591,Meredith,Reed,Meredith Reed,95,80,64,97,85,94,60
592,David,Brown,David Brown,80,62,84,95,71,85,87
593,William,Johns,William Johns,86,70,73,85,67,91,98
594,Eric,Patton,Eric Patton,42,95,99,61,62,77,99
595,Wendy,Warner,Wendy Warner,80,93,93,94,81,81,78
596,Timothy,Powell,Timothy Powell,79,97,100,94,65,62,76
597,Victoria,Thompson,Victoria Thompson,43,63,91,67,74,71,88
598,Jeremy,Brown,Jeremy Brown,58,84,95,66,99,91,70
599,Barbara,Schneider,Barbara Schneider,86,73,83,93,46,91,70
600,Lindsay,Morales,Lindsay Morales,96,91,97,84,89,82,75
601,Gary,Patel,Gary Patel,91,88,98,89,75,91,92
602,Michelle,Ortiz,Michelle Ortiz,85,62,77,62,80,88,83
603,Susan,Lynch,Susan Lynch,87,91,93,92,97,95,99
604,Tammy,Hernandez,Tammy Hernandez,60,91,85,67,98,61,64
605,Jennifer,Guerra,Jennifer Guerra,76,85,67,60,100,63,64
606,Kelly,Schwartz,Kelly Schwartz,84,89,74,79,86,93,95
607,Brittany,Orozco,Brittany Orozco,87,94,74,84,77,82,85
608,Samantha,Alvarado,Samantha Alvarado,82,79,64,75,93,82,60
609,Christopher,Anderson,Christopher Anderson,64,61,73,70,87,75,100
610,William,Smith,William Smith,77,80,88,84,84,92,82
611,Courtney,Patterson,Courtney Patterson,86,82,90,69,66,93,94
612,Kevin,Hess,Kevin Hess,81,84,76,88,84,89,87
613,Melissa,Higgins,Melissa Higgins,91,90,92,78,67,86,71
614,Elizabeth,Chavez,Elizabeth Chavez,72,99,61,67,95,98,89
615,Mary,Taylor,Mary Taylor,80,70,80,96,72,99,65
616,Joshua,Parker,Joshua Parker,90,89,98,70,79,60,92
617,Joshua,Kelly,Joshua Kelly,72,51,52,98,50,90,63
618,Travis,Ross,Travis Ross,93,85,89,93,90,91,88
619,Kenneth,Buchanan,Kenneth Buchanan,95,85,90,94,91,84,85
620,Ryan,Clarke,Ryan Clarke,86,93,89,90,100,86,93
621,Gina,Solomon,Gina Solomon,89,55,89,67,55,64,70
622,David,Madden,David Madden,90,75,67,85,64,95,96
623,William,Brennan,William Brennan,79,95,81,67,66,71,66
624,Judy,Mckenzie,Judy Mckenzie,86,88,98,66,62,95,90
625,Logan,Lindsey,Logan Lindsey,83,78,68,72,77,89,70
626,Kyle,Williams,Kyle Williams,85,92,62,95,65,89,95
627,Mark,Padilla,Mark Padilla,66,78,86,87,64,65,64
628,Eugene,Clark,Eugene Clark,93,80,60,62,43,68,67
629,Sean,Wagner,Sean Wagner,65,89,79,95,71,61,62
630,Christine,Larson,Christine Larson,52,66,98,83,92,82,91
631,Melinda,Freeman,Melinda Freeman,90,80,84,70,65,89,64
632,Elizabeth,Smith,Elizabeth Smith,83,89,99,100,73,86,88
633,Walter,King,Walter King,62,89,72,68,85,80,75
634,Lisa,Bean,Lisa Bean,98,72,99,84,60,95,93
635,Douglas,Hayes,Douglas Hayes,76,75,74,67,76,82,79
636,Heather,Jefferson,Heather Jefferson,97,62,98,70,67,71,70
637,Melinda,Byrd,Melinda Byrd,63,60,95,99,87,58,66
638,Alexander,Burnett,Alexander Burnett,98,99,64,88,72,87,99
639,Maria,Campos,Maria Campos,78,84,84,61,88,67,92
640,Lindsey,Anthony,Lindsey Anthony,85,77,89,77,84,71,71
641,Darryl,Schultz,Darryl Schultz,59,100,84,93,70,56,74
642,Bethany,French,Bethany French,99,77,88,60,93,61,96
643,Tyler,Scott,Tyler Scott,76,62,86,80,47,85,71
644,Patricia,Hall,Patricia Hall,80,90,85,89,85,80,68
645,Ryan,Williams,Ryan Williams,82,74,92,50,77,98,100
646,Levi,Mason,Levi Mason,89,64,72,61,75,68,83
647,Michael,Vang,Michael Vang,89,79,75,80,97,94,68
648,April,Humphrey,April Humphrey,86,89,94,95,60,90,90
649,Steven,Hancock,Steven Hancock,65,76,92,86,93,61,97
650,Chelsea,Olson,Chelsea Olson,77,95,77,84,60,90,89
651,Emily,Huang,Emily Huang,88,85,68,62,64,99,66
652,Rachel,Jones,Rachel Jones,98,77,94,87,44,85,61
653,Philip,Walker,Philip Walker,84,86,90,80,72,99,85
654,Laura,Rivera,Laura Rivera,91,85,66,83,70,71,80
655,Pamela,Henry,Pamela Henry,97,95,94,90,86,85,95
656,Nicole,Davidson,Nicole Davidson,77,88,63,87,71,93,84
657,Jeffery,Parker,Jeffery Parker,100,84,93,96,97,70,95
658,Christopher,Banks,Christopher Banks,93,70,62,99,63,83,60
659,Tara,Griffin,Tara Griffin,93,99,79,78,64,87,76
660,Lisa,Lloyd,Lisa Lloyd,94,89,74,75,73,78,61
661,Elizabeth,Maldonado,Elizabeth Maldonado,88,86,79,93,68,92,99
662,Samuel,Anderson,Samuel Anderson,93,95,94,70,83,86,94
663,Xavier,Johnson,Xavier Johnson,83,75,84,68,95,80,88
664,Lauren,Cordova,Lauren Cordova,96,93,100,96,97,81,72
665,Amanda,Hawkins,Amanda Hawkins,87,88,93,88,96,85,94
666,Donald,Coleman,Donald Coleman,95,82,84,69,63,85,69
667,Phillip,Bennett,Phillip Bennett,87,87,86,84,66,83,81
668,John,George,John George,43,95,64,95,66,67,74
669,Katherine,Moore,Katherine Moore,40,100,88,79,71,86,89
670,Jose,Dominguez,Jose Dominguez,64,70,98,82,100,72,78
671,Lauren,Morrow,Lauren Morrow,72,79,95,68,75,70,88
672,Katie,Davenport,Katie Davenport,77,96,86,84,90,85,91
673,Michelle,Martinez,Michelle Martinez,40,86,53,63,50,87,77
674,Jeremiah,Stanley,Jeremiah Stanley,100,89,90,96,72,90,86
675,Isaac,Tucker,Isaac Tucker,89,93,95,88,72,76,71
676,Hannah,Garcia,Hannah Garcia,97,74,76,72,62,69,90
677,Thomas,Nelson,Thomas Nelson,100,77,74,61,81,96,96
678,William,Kennedy,William Kennedy,81,88,85,89,81,91,98
679,Jennifer,Williams,Jennifer Williams,100,91,53,78,55,91,74
680,Jeffrey,Price,Jeffrey Price,80,65,96,73,84,92,73
681,Zachary,Burns,Zachary Burns,79,88,83,84,78,72,79
682,Curtis,Duffy,Curtis Duffy,96,64,100,87,88,60,62
683,Allison,Alvarado,Allison Alvarado,95,81,91,62,36,79,69
684,Jeffery,Kelley,Jeffery Kelley,86,68,65,64,95,82,87
685,Kenneth,Clark,Kenneth Clark,86,97,72,90,95,99,76
686,Hayley,Case,Hayley Case,87,68,66,83,92,81,80
687,Vanessa,Martinez,Vanessa Martinez,94,87,100,90,86,86,90
688,Tara,Thomas,Tara Thomas,88,71,87,85,100,78,78
689,Aaron,Williamson,Aaron Williamson,88,69,76,64,90,78,80
690,Phillip,Nelson,Phillip Nelson,76,61,68,88,86,87,66
691,Michael,Hinton,Michael Hinton,84,66,99,80,71,88,89
692,Alex,Shelton,Alex Shelton,96,77,91,85,69,91,91
693,Ross,Esparza,Ross Esparza,57,75,64,85,53,95,81
694,Lisa,Murphy,Lisa Murphy,93,79,82,67,64,90,65
695,Richard,Gibson,Richard Gibson,88,84,61,61,79,62,99
696,Jackson,Olson,Jackson Olson,89,99,86,97,98,97,93
697,Michael,Waters,Michael Waters,80,88,94,94,100,99,99
698,Daniel,Mcneil,Daniel Mcneil,94,92,61,87,61,94,69
699,James,Mcgee,James Mcgee,99,74,98,69,69,64,96
700,Dennis,Park,Dennis Park,81,72,87,62,69,93,72
701,Gregory,Jones,Gregory Jones,91,61,95,82,77,87,95
702,Barbara,Petersen,Barbara Petersen,71,100,99,95,91,96,96
703,Andrea,Baker,Andrea Baker,61,66,78,79,79,96,81
704,Robert,Holmes,Robert Holmes,87,89,60,66,79,81,65
705,Autumn,Jones,Autumn Jones,93,69,79,78,77,73,77
706,Richard,Davis,Richard Davis,92,88,87,98,96,85,96
707,Anthony,Armstrong,Anthony Armstrong,96,87,99,65,98,79,93
708,Julian,Ortiz,Julian Ortiz,83,75,77,61,93,61,75
709,Melinda,Sanchez,Melinda Sanchez,78,84,79,96,76,71,71
710,James,Carter,James Carter,82,74,84,74,86,81,100
711,Alejandra,Johns,Alejandra Johns,94,91,68,61,34,60,63
712,Susan,Long,Susan Long,93,73,97,89,88,63,70
713,Sharon,Allen,Sharon Allen,80,95,98,95,96,97,85
714,Leah,Brown,Leah Brown,55,99,71,94,69,87,84
715,Maria,Barker,Maria Barker,94,71,83,76,99,95,94
716,Kelly,Church,Kelly Church,72,72,85,90,75,94,65
717,Michael,Walsh,Michael Walsh,98,89,75,68,87,69,96
718,Alyssa,Gallagher,Alyssa Gallagher,71,98,66,65,78,81,82
719,Kelly,Morris,Kelly Morris,99,95,89,90,95,98,99
720,Ryan,Brown,Ryan Brown,97,67,86,95,65,91,76
721,Maria,Hall,Maria Hall,85,64,99,93,89,61,67
722,Mark,Brown,Mark Brown,100,88,98,90,93,95,98
723,William,Kerr,William Kerr,89,63,73,83,74,91,83
724,Jake,Gonzalez,Jake Gonzalez,76,87,63,92,93,87,88
725,Theresa,Gray,Theresa Gray,100,68,80,75,85,82,85
726,Ashley,Ayers,Ashley Ayers,77,99,99,76,70,80,90
727,Ann,Mccann,Ann Mccann,85,86,84,81,92,84,93
728,Curtis,Bennett,Curtis Bennett,70,83,63,86,97,88,79
729,Debra,Gutierrez,Debra Gutierrez,76,83,90,68,96,94,87
730,Linda,West,Linda West,75,82,89,65,85,89,81
731,Justin,Hughes,Justin Hughes,97,65,96,87,87,95,100
732,Jose,Jackson,Jose Jackson,72,81,61,73,96,72,86
733,Larry,Smith,Larry Smith,84,69,68,92,86,67,73
734,Austin,Dunn,Austin Dunn,84,94,65,74,92,81,79
735,Michael,Heath,Michael Heath,94,87,99,99,86,86,85
736,Beth,Acosta,Beth Acosta,80,91,100,87,87,94,100
737,Tracie,Weeks,Tracie Weeks,87,98,79,87,92,80,93
738,Brandi,Ray,Brandi Ray,93,94,87,92,99,93,88
739,Carla,Brandt,Carla Brandt,87,69,96,61,72,78,99
740,Thomas,Cruz,Thomas Cruz,64,51,70,94,86,65,80
741,Nicholas,Martin,Nicholas Martin,96,73,91,71,72,74,76
742,Breanna,Lee,Breanna Lee,97,62,93,80,96,94,67
743,Angie,White,Angie White,62,79,75,65,71,75,93
744,William,Lester,William Lester,97,79,96,94,59,83,64
745,Joshua,Miller,Joshua Miller,85,100,90,93,94,97,98
746,Thomas,Stone,Thomas Stone,68,95,66,65,89,84,100
747,Sarah,King,Sarah King,45,68,99,91,88,63,61
748,Jeffery,Carlson,Jeffery Carlson,86,79,86,73,53,84,79
749,Ashley,Gutierrez,Ashley Gutierrez,97,94,73,98,87,97,98
750,Adam,Herring,Adam Herring,93,67,65,61,61,96,65
751,David,Ramirez,David Ramirez,85,93,75,72,84,63,63
752,Angela,Brown,Angela Brown,88,88,98,92,71,66,90
753,Eric,Jones,Eric Jones,100,67,98,71,92,79,99
754,Angel,Garner,Angel Garner,93,74,88,92,77,89,96
755,Lisa,Cowan,Lisa Cowan,70,63,73,97,63,61,90
756,Nicole,Perry,Nicole Perry,82,67,94,88,86,89,98
757,Annette,Wells,Annette Wells,41,76,94,93,79,84,96
758,Ian,Scott,Ian Scott,94,74,74,89,67,93,96
759,Kari,Hernandez,Kari Hernandez,67,69,75,94,98,80,74
760,Mary,Haynes,Mary Haynes,89,75,64,81,66,82,92
761,Raymond,Smith,Raymond Smith,82,82,100,93,91,61,83
762,Christopher,Ayala,Christopher Ayala,96,79,93,92,92,71,87
763,Jacqueline,Frazier,Jacqueline Frazier,94,84,84,89,52,97,76
764,Jesse,Kelly,Jesse Kelly,84,65,83,99,86,75,67
765,Teresa,Lee,Teresa Lee,87,98,97,70,80,67,82
766,Michael,Aguirre,Michael Aguirre,90,93,66,77,72,82,82
767,April,Delgado,April Delgado,86,81,91,83,97,83,80
768,Troy,Prince,Troy Prince,48,72,64,65,64,55,79
769,Martha,Summers,Martha Summers,49,59,99,59,75,54,70
770,William,Dean,William Dean,90,83,72,77,99,84,67
771,Cheryl,Gutierrez,Cheryl Gutierrez,40,51,93,100,76,60,99
772,Diane,Spears,Diane Spears,78,81,71,91,79,79,75
773,Brian,David,Brian David,87,68,75,96,91,72,78
774,Heather,Brooks,Heather Brooks,79,81,68,70,60,65,71
775,Pamela,Rodgers,Pamela Rodgers,100,100,94,83,62,92,71
776,Betty,Nash,Betty Nash,71,72,65,65,65,67,97
777,Heather,Donaldson,Heather Donaldson,77,64,69,60,92,76,74
778,Ebony,Shepherd,Ebony Shepherd,83,84,96,96,79,80,81
779,Sean,Thomas,Sean Thomas,96,79,80,71,67,76,63
780,Todd,Howard,Todd Howard,91,96,100,95,100,94,95
781,Julia,Richmond,Julia Richmond,71,69,95,83,90,93,89
782,Mary,Mccormick,Mary Mccormick,84,80,75,63,71,86,63
783,Jimmy,Warren,Jimmy Warren,91,61,61,85,64,76,88
784,Henry,Spencer,Henry Spencer,59,65,72,60,94,63,75
785,Peter,Yates,Peter Yates,89,90,91,95,87,92,96
786,Robert,Campbell,Robert Campbell,81,92,68,93,69,78,89
787,Matthew,Conway,Matthew Conway,77,84,86,97,90,83,92
788,Tyler,Calderon,Tyler Calderon,72,58,73,57,67,88,70
789,Brittney,Moon,Brittney Moon,91,63,78,93,76,76,90
790,Tracy,White,Tracy White,88,100,94,91,85,91,88
791,Gregory,Welch,Gregory Welch,94,88,99,92,98,85,95
792,Caroline,Cooper,Caroline Cooper,67,72,98,65,61,87,89
793,Kelly,Rivera,Kelly Rivera,88,86,82,89,81,61,83
794,Stacey,Wilson,Stacey Wilson,67,67,62,80,61,61,82
795,Craig,Graham,Craig Graham,95,87,96,97,83,93,88
796,Earl,Santana,Earl Santana,96,91,78,94,81,88,86
797,Lisa,Mitchell,Lisa Mitchell,87,99,99,100,98,96,94
798,Michael,Williams,Michael Williams,85,88,85,92,96,81,95
799,Jerry,Jones,Jerry Jones,88,85,100,68,65,97,94
800,Matthew,Miles,Matthew Miles,94,68,72,99,83,53,83
801,Mary,Cox,Mary Cox,67,100,77,85,73,95,86
802,Jessica,Young,Jessica Young,92,63,99,77,82,88,72
803,Tiffany,Small,Tiffany Small,76,75,60,77,71,70,88
804,Mary,Wyatt,Mary Wyatt,86,75,96,62,81,91,84
805,Maria,Mercer,Maria Mercer,94,94,86,62,73,90,75
806,Erin,Moore,Erin Moore,100,85,62,62,89,65,67
807,Kendra,Dalton,Kendra Dalton,74,84,71,93,65,98,61
808,Anthony,Gomez,Anthony Gomez,99,98,70,73,63,62,88
809,Molly,Jackson,Molly Jackson,66,97,72,98,86,86,63
810,Brianna,Gutierrez,Brianna Gutierrez,99,96,100,95,90,95,88
811,John,Henderson,John Henderson,97,76,99,85,98,62,97
812,Steven,Martin,Steven Martin,81,71,76,95,99,85,71
813,Tina,Bowers,Tina Bowers,95,88,62,85,82,94,73
814,Luis,Jones,Luis Jones,55,69,53,75,86,95,61
815,Jeffrey,Thomas,Jeffrey Thomas,50,62,97,90,93,75,80
816,Jeffrey,Cox,Jeffrey Cox,98,84,90,83,84,61,99
817,Jennifer,Bautista,Jennifer Bautista,88,67,71,85,68,88,67
818,Judy,Pugh,Judy Pugh,87,99,92,85,62,69,67
819,Henry,Craig,Henry Craig,73,74,94,76,97,86,85
820,Steven,Alvarez,Steven Alvarez,46,71,60,50,85,69,62
821,Rebecca,Mckay,Rebecca Mckay,88,82,90,94,99,78,65
822,James,Reynolds,James Reynolds,95,62,68,64,71,87,60
823,Heather,Bentley,Heather Bentley,73,71,60,70,78,72,78
824,Alexis,Hall,Alexis Hall,70,88,100,91,98,68,81
825,Ryan,Soto,Ryan Soto,84,100,99,94,84,86,63
826,Brent,Clements,Brent Clements,88,60,87,90,87,86,62
827,Thomas,Hernandez,Thomas Hernandez,66,65,82,96,87,87,63
828,Kevin,Mack,Kevin Mack,46,54,93,57,99,59,73
829,Patrick,Kirk,Patrick Kirk,71,92,60,73,74,86,94
830,Christopher,Jenkins,Christopher Jenkins,76,77,99,87,95,94,85
